record_id,prob_original,prob_masked
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44273478,0.44202107
1,0.44273478,0.44202107
1,0.4617948,0.44202107
1,0.44202107,0.44202107
1,0.44241995,0.44202107
1,0.44202107,0.44202107
1,0.44241995,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44241995,0.44202107
1,0.44273478,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44241995,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44241995,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44241995,0.44202107
1,0.44241995,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44241995,0.44202107
1,0.44273478,0.44202107
1,0.4617948,0.44202107
1,0.44202107,0.44202107
1,0.44241995,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44202107,0.44202107
1,0.44241995,0.44202107
1,0.44241995,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.4617948,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44273478,0.44202107
1,0.44241995,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.4617948,0.44202107
1,0.44202107,0.44202107
1,0.4617948,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44241995,0.44202107
1,0.4617948,0.44202107
1,0.44241995,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44241995,0.44202107
1,0.44241995,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44241995,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44273478,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
1,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44241914,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44241914,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44241914,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.44241914,0.44202107
2,0.44202107,0.44202107
2,0.46179548,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.44241914,0.44202107
2,0.44202107,0.44202107
2,0.44274503,0.44202107
2,0.44241914,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.46179548,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44241914,0.44202107
2,0.44241914,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44241914,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.44241914,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.46179548,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44241914,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44274503,0.44202107
2,0.44241914,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.46179548,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44241914,0.44202107
2,0.44202107,0.44202107
2,0.44274503,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44202107,0.44202107
2,0.44241914,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44278872,0.44202107
3,0.44202107,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44278872,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44278872,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.44278872,0.44202107
3,0.44278872,0.44202107
3,0.46190464,0.44202107
3,0.44202107,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.44242436,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.46190464,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44278872,0.44202107
3,0.44242436,0.44202107
3,0.44278872,0.44202107
3,0.44202107,0.44202107
3,0.44278872,0.44202107
3,0.44202107,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.46190464,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44278872,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44278872,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44278872,0.44202107
3,0.44242436,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44202107,0.44202107
3,0.44278872,0.44202107
3,0.44278872,0.44202107
3,0.44202107,0.44202107
4,0.44202107,0.44202107
4,0.44202107,0.44202107
4,0.44202107,0.44202107
4,0.44273508,0.44202107
4,0.44202107,0.44202107
4,0.44273508,0.44202107
4,0.44273508,0.44202107
4,0.44202107,0.44202107
4,0.44202107,0.44202107
4,0.44241965,0.44202107
4,0.44241965,0.44202107
4,0.44202107,0.44202107
4,0.44202107,0.44202107
4,0.44202107,0.44202107
4,0.44202107,0.44202107
4,0.44273508,0.44202107
